word	known(y/n)
言う	y
為る	
皆	y
日本語	y
居る	
好き	y
人	y
無い	y
有る	
事	
又	y
時	
良い	y
日本	y
一寸	
元気	y
聞く	y
今日	y
後	
思う	y
今	y
勉強	y
行く	y
少し	y
成る	
時間	
そう	y
下さる	y
住む	
話す	y
沢山	
はい	y
あの	
バイ-by	y
まあ	y
例えば	y
今日は	y
色々	y
先生	y
どう	
読む	
毎日	y
分かる	y
つく	
見る	y
殆ど	
1	
余り	
様	
普通	
願う	
其の	
料理	
方	y
宜しく	
トウキョウ	
食べる	y
みたい	
大事	
箇月	
キャスト-cast	
ポッド-pod	
回	
国	y
使う	
前	y
暑い	y
矢張り	
美味しい	
飲む	
コーヒー-coffee	
もう	
楽しい	y
此の	y
一番	
昼	y
音楽	
酒	
最近	
エアコン-air conditioner	
頑張る	
2	
旅行	
度	
結構	
3	
家	y
出来る	
夜	y
漢字	
続ける	
凄い	
トピック-topic	
声	
朝	y
寝る	
難しい	
学校	
英語	y
知れる	
雑誌	
多い	y
子供	
まー	
あー	
取る	
仕事	y
コンテ-continuity	
ペイ-pay	
一	y
自然	
御座る	
一人	y
悪い	y
良く	
夏	
御早う	
家族	
他	
自分	
えー	
違う	
前回	y
本	y
漫画	y
来る	
寒い	
部屋	
旅	
眠る	
疲れる	
アメリカ-America	
どんな	
天気	
雨	y
入る	y
多分	
もっと	
父	y
テレビ-television	
卵	y
7	
本当	
話	y
冬	
作る	
同じ	
御飯	
遣る	
勿論	
長い	
掃除	
大丈夫	
10	
曇り	
食べ物	
中	y
コンテッペ	
物	
付ける	
因る	
母	y
温泉	
風呂	
小さい	y
方法	
何の	
年	
まあまあ	
仕舞う	
日	
出身	
弾く	
6	
感じ	
過ぎる	
簡単	
分	
アニメ-animation	
そんな	
リスニング-listening	
出る	
何故	
バンコク-Bangkok	
タイ-Thailand	
新聞	
変	
高い	
金	
8	
4	
休み	
片仮名	
テッペイ	
一緒	
映画	
終わる	
先ず	
偶に	
風	
興味	
ギター-guitar	
名前	
スペイン-Spain	
5	
週間	
うん	
会う	
会社	
友達	
コンテペ	
教科	
信ずる	
明日	y
始まる	y
ロシア-Rossiya	
覚える	
小説	
繰り返す	
若い	
こう	
ヒッピー-hippie	
ドキュメンタリー-documentary	
月	y
低い	
色んな	y
オキナワ	
意味	
チャオチャオ	
9	
11	
嫌い	
絶対	
ジブリ	
次回	y
是非	
従兄弟	
旅館	
大学	y
安い	y
初めて	
外	y
ずっと	
奇麗	
止める	
夏休み	
応援	
イギリス-Inglez	
始める	y
年間	
短い	
早い	y
夕方	
少ない	y
今晩は	
饂飩	
体	y
スターバックス-Starbucks	
間	y
ムラカミ	
兎に角	
キュウシュウ	
ホテル-hotel	
大きい	
義理	
バックパッカー-backpacker	
トースト-toast	
入れる	y
文法	
働く	
明るい	
パパ-papa	
ママ-mama	
オオサカ	
街	
スズキ	
ラーメン-Rahmen	
ジャズ-jazz	
昨日	
場合	
カフェ-cafe	
有名	
エッセー-essay	
今回	
呉れる	
ゆっくり	
晴れ	
南	
変わる	
爺	
湯	
男	y
以外	
言葉	
紹介	
コン	
首都	
可成	
海外	
ヨーロッパ-Europa	
秋	y
ニュース-news	
シャワー-shower	
気持ち	
返る	
オリンピック-Olympic	
繰り返し	
旨い	y
二	
バイバイバイバイバイバイ	
午後	
訳	y
若し	
italki	
知る	
ヒップ-hip	
ホップ-hop（草）	
食	
クラシック-classic	
大好き	
甘い	
特に	
ビール-beer	
スタイル-style	
アート-art	
カフェイン-Kaffein	
苦手	
ハルキ	
面白い	
どんどん	
北	
姉	y
ボキャブラリー-vocabulary	
自己	
さっき	
確り	
嫌	
邪魔	
目玉	
唯	
医者	
こん	
楽器	
バスタブ-bathtub	
暗い	y
宣伝	
ロンドン-London	
オーストラリア-Australia	
三	y
七	y
ロサンゼルス-Los Angeles	
町	y
弁	
大変	
あっ	
中国語	
感ずる	
全て	
全部	
晴れる	
ポップ-pop	
麺	
ドーナツ-doughnut	
クリーム-cream	
ううん	
イタリア-Italia	
パン-pao	
世界	
カプチーノ-cappuccino	
茶	
因み	
単語	
ドラゴン-dragon	
ボール-ball	
涼しい	
コート-coat	
親戚	
置く	
クリス-外国	
ぺらぺら	
トイレ-toilet	
続き	
パッケージ-package	
ツアー-tour	
グループ-group	
留学	
汚い	
所	
浴びる	
ネット-net	
記事	
ロック-rock（音楽）	
狭い	
必ず	
掛かる	
勧める	
睡眠	
侭	
車	
大人	
オフィス-office	
天井	
脳	
看護	
OL	
サポート-support	
にゃあ	
ビギナー-beginner	
九	
十	
場所	
ニューヨーク	
大切	
平仮名	
調べる	
半	
30	
降る	
側	
豆腐	
イタリアン-Italian	
ピザ-pizza	
パスタ-pasta	
ハイ-high	
ハンバーガー-hamburger	
続く	
焼酎	
ジョーク-joke	
エスプレッソ-espresso	
気	
読書	
昔	
ドラえもん	
アキラ	
直ぐ	
元々	
基本	
監督	
雪	
温かい	
着る	
ホンシュウ	
人間	
婆	
沸く	
ベッド-bed	
レストラン-restaurant	
えーと	
甥	
姪っ子	
伯父	
兄弟	
伯母	
女	
スペイン-Spain語	
会話	
政治	
20	
未だ	
爽やか	
交換	
ちゃんと	
アジア-Asia	
新鮮	
肉	
重い	
アルゼンチン-Argentina	
コマーシャル-commercial	
紙	
スポーツ-sport	
文化	
無くなる	
カレー-curry	
二鳥	
庭	
駄目	
エアー-air	
眠い	
過去	
以上	
ペース-pace	
15	
吹く	
卵掛け	
イメージ-image	
